condition,replicate_id,measurement_type,index,time_s,Ewe_V,Ewe_mV,current_density_A_cm2,abs_current_density_A_cm2,log10_abs_current_density_A_cm2,cycle
AS,replicate_01,CPP,3652,0.99675,-0.4485615,-448.5615,-0.00002728977,0.00002728977,-4.56400012457751,1
AS,replicate_01,CPP,3653,1.59975,-0.448065,-448.065,-0.00001827981,0.00001827981,-4.73802832262737,1
AS,replicate_01,CPP,3654,2.2028,-0.4474778,-447.4778,-0.00001627363,0.00001627363,-4.78851556242084,1
AS,replicate_01,CPP,3655,2.81715,-0.4468092,-446.8092,-0.00001536157,0.00001536157,-4.8135643957959,1
AS,replicate_01,CPP,3656,3.42005,-0.4462472,-446.2472,-0.00001467738,0.00001467738,-4.83335146166063,1
AS,replicate_01,CPP,3657,4.02295,-0.445643,-445.643,-0.00001417661,0.00001417661,-4.84842760796166,1
AS,replicate_01,CPP,3658,4.6259,-0.4450478,-445.0478,-0.00001375195,0.00001375195,-4.86163571534686,1
AS,replicate_01,CPP,3659,5.22885,-0.444364,-444.364,-0.00001338923,0.00001338923,-4.87324439807138,1
AS,replicate_01,CPP,3660,5.83185,-0.4437628,-443.7628,-0.00001309802,0.00001309802,-4.88279435076147,1
AS,replicate_01,CPP,3661,6.43485,-0.4431756,-443.1756,-0.00001285326,0.00001285326,-4.89098670731715,1
AS,replicate_01,CPP,3662,7.04265,-0.4426126,-442.6126,-0.00001256209,0.00001256209,-4.9009380994558,1
AS,replicate_01,CPP,3663,7.6456,-0.4420578,-442.0578,-0.00001233205,0.00001233205,-4.90896472310543,1
AS,replicate_01,CPP,3664,8.2486,-0.4413629,-441.3629,-0.00001209264,0.00001209264,-4.91747887595724,1
AS,replicate_01,CPP,3665,8.8516,-0.44081,-440.81,-0.00001187142,0.00001187142,-4.92549732980028,1
AS,replicate_01,CPP,3666,9.45455,-0.4401594,-440.1594,-0.0000116282,0.0000116282,-4.93448750716052,1
AS,replicate_01,CPP,3667,10.05755,-0.4395572,-439.5572,-0.00001142411,0.00001142411,-4.94217762383094,1
AS,replicate_01,CPP,3668,10.66045,-0.438964,-438.964,-0.00001120104,0.00001120104,-4.9507416518573,1
AS,replicate_01,CPP,3669,11.26345,-0.4382913,-438.2913,-0.00001094255,0.00001094255,-4.96088146028035,1
AS,replicate_01,CPP,3670,11.86645,-0.4377464,-437.7464,-0.00001073027,0.00001073027,-4.96938934997861,1
AS,replicate_01,CPP,3671,12.4694,-0.4370828,-437.0828,-0.00001059027,0.00001059027,-4.97509296736982,1
AS,replicate_01,CPP,3672,13.0772,-0.4365299,-436.5299,-0.00001044647,0.00001044647,-4.98103043859718,1
AS,replicate_01,CPP,3673,13.68015,-0.4360304,-436.0304,-0.00001033998,0.00001033998,-4.9854803012709,1
AS,replicate_01,CPP,3674,14.2831,-0.4353355,-435.3355,-0.00001021953,0.00001021953,-4.99056907710739,1
AS,replicate_01,CPP,3675,14.88605,-0.4346467,-434.6467,-0.00001009841,0.00001009841,-4.99574700073076,1
AS,replicate_01,CPP,3676,15.489,-0.4341623,-434.1623,-0.000009988037,0.000009988037,-5.0005198575035,1
