condition,replicate_id,measurement_type,index,time_s,Ewe_V,Ewe_mV,current_density_A_cm2,frequency_Hz,ReZ_Ohm_cm2,neg_ImZ_Ohm_cm2,cycle
AS,replicate_01,EIS,1,0.2757,-0.2181184,-218.1184,0,0,0,0,1
AS,replicate_01,EIS,2,1.29015,-0.2146742,-214.6742,0,0,0,0,1
AS,replicate_01,EIS,3,2.30455,-0.2139239,-213.9239,0,0,0,0,1
AS,replicate_01,EIS,4,3.31895,-0.2154295,-215.4295,0,0,0,0,1
AS,replicate_01,EIS,5,4.3334,-0.2157467,-215.7467,0,0,0,0,1
AS,replicate_01,EIS,6,5.3478,-0.2157417,-215.7417,0,0,0,0,1
AS,replicate_01,EIS,7,6.3622,-0.2149159,-214.9159,0,0,0,0,1
AS,replicate_01,EIS,8,7.37665,-0.2140045,-214.0045,0,0,0,0,1
AS,replicate_01,EIS,9,8.3911,-0.2138736,-213.8736,0,0,0,0,1
AS,replicate_01,EIS,10,9.4055,-0.2134254,-213.4254,0,0,0,0,1
AS,replicate_01,EIS,11,10.4248,-0.2125442,-212.5442,0,0,0,0,1
AS,replicate_01,EIS,12,11.4392,-0.2114515,-211.4515,0,0,0,0,1
AS,replicate_01,EIS,13,12.45365,-0.2103387,-210.3387,0,0,0,0,1
AS,replicate_01,EIS,14,13.4681,-0.2102682,-210.2682,0,0,0,0,1
AS,replicate_01,EIS,15,14.48255,-0.2089036,-208.9036,0,0,0,0,1
AS,replicate_01,EIS,16,15.49695,-0.2104042,-210.4042,0,0,0,0,1
AS,replicate_01,EIS,17,16.5114,-0.2102783,-210.2783,0,0,0,0,1
AS,replicate_01,EIS,18,17.5258,-0.2100769,-210.0769,0,0,0,0,1
AS,replicate_01,EIS,19,18.54025,-0.2115271,-211.5271,0,0,0,0,1
AS,replicate_01,EIS,20,19.5547,-0.211663,-211.663,0,0,0,0,1
AS,replicate_01,EIS,21,20.57395,-0.2124284,-212.4284,0,0,0,0,1
AS,replicate_01,EIS,22,21.5884,-0.2138283,-213.8283,0,0,0,0,1
AS,replicate_01,EIS,23,22.6029,-0.2150871,-215.0871,0,0,0,0,1
AS,replicate_01,EIS,24,23.6173,-0.2163359,-216.3359,0,0,0,0,1
AS,replicate_01,EIS,25,24.63175,-0.2157921,-215.7921,0,0,0,0,1
AS,replicate_01,EIS,26,25.6462,-0.2155202,-215.5202,0,0,0,0,1
AS,replicate_01,EIS,27,26.66065,-0.2161244,-216.1244,0,0,0,0,1
AS,replicate_01,EIS,28,27.6751,-0.2145131,-214.5131,0,0,0,0,1
AS,replicate_01,EIS,29,28.68955,-0.2128715,-212.8715,0,0,0,0,1
AS,replicate_01,EIS,30,29.70395,-0.2111293,-211.1293,0,0,0,0,1
AS,replicate_01,EIS,31,30.72315,-0.2131787,-213.1787,0,0,0,0,1
AS,replicate_01,EIS,32,31.7376,-0.2143822,-214.3822,0,0,0,0,1
AS,replicate_01,EIS,33,32.75205,-0.2154547,-215.4547,0,0,0,0,1
AS,replicate_01,EIS,34,33.7665,-0.2151626,-215.1626,0,0,0,0,1
AS,replicate_01,EIS,35,34.78095,-0.2162201,-216.2201,0,0,0,0,1
