condition,replicate_id,measurement_type,index,time_s,Ewe_V,Ewe_mV,current_density_A_cm2,cycle
AS,replicate_01,OCP,334,0.37895,-0.3946636,-394.6636,0,1
AS,replicate_01,OCP,335,1.4636,-0.3954068,-395.4068,0,1
AS,replicate_01,OCP,336,2.54825,-0.3959617,-395.9617,0,1
AS,replicate_01,OCP,337,3.633,-0.3962558,-396.2558,0,1
AS,replicate_01,OCP,338,4.7178,-0.396434,-396.434,0,1
AS,replicate_01,OCP,339,5.80255,-0.3967684,-396.7684,0,1
AS,replicate_01,OCP,340,6.88735,-0.3972105,-397.2105,0,1
AS,replicate_01,OCP,341,7.9721,-0.3976032,-397.6032,0,1
AS,replicate_01,OCP,342,9.05685,-0.3979194,-397.9194,0,1
AS,replicate_01,OCP,343,10.1415,-0.3983021,-398.3021,0,1
AS,replicate_01,OCP,344,11.231,-0.3983706,-398.3706,0,1
AS,replicate_01,OCP,345,12.3158,-0.398569,-398.569,0,1
AS,replicate_01,OCP,346,13.4005,-0.3986224,-398.6224,0,1
AS,replicate_01,OCP,347,14.4852,-0.3982367,-398.2367,0,1
AS,replicate_01,OCP,348,15.56995,-0.3980272,-398.0272,0,1
AS,replicate_01,OCP,349,16.65465,-0.3975569,-397.5569,0,1
AS,replicate_01,OCP,350,17.73935,-0.3975005,-397.5005,0,1
AS,replicate_01,OCP,351,18.824,-0.3973646,-397.3646,0,1
AS,replicate_01,OCP,352,19.9087,-0.39728,-397.28,0,1
AS,replicate_01,OCP,353,20.9934,-0.397577,-397.577,0,1
AS,replicate_01,OCP,354,22.0829,-0.3977885,-397.7885,0,1
AS,replicate_01,OCP,355,23.16755,-0.3980111,-398.0111,0,1
AS,replicate_01,OCP,356,24.2523,-0.3981864,-398.1864,0,1
AS,replicate_01,OCP,357,25.33695,-0.3980977,-398.0977,0,1
AS,replicate_01,OCP,358,26.42165,-0.3978349,-397.8349,0,1
AS,replicate_01,OCP,359,27.50645,-0.3976778,-397.6778,0,1
AS,replicate_01,OCP,360,28.59115,-0.3974059,-397.4059,0,1
AS,replicate_01,OCP,361,29.67585,-0.3972105,-397.2105,0,1
AS,replicate_01,OCP,362,30.76055,-0.3969809,-396.9809,0,1
AS,replicate_01,OCP,363,31.8452,-0.3968348,-396.8348,0,1
AS,replicate_01,OCP,364,32.93475,-0.3968419,-396.8419,0,1
AS,replicate_01,OCP,365,34.01945,-0.3966576,-396.6576,0,1
AS,replicate_01,OCP,366,35.1041,-0.3965357,-396.5357,0,1
AS,replicate_01,OCP,367,36.18885,-0.3964159,-396.4159,0,1
