condition,replicate_id,measurement_type,index,time_s,Ewe_V,Ewe_mV,current_density_A_cm2,abs_current_density_A_cm2,log10_abs_current_density_A_cm2,cycle
SA1100,replicate_01,CPP,3651,1.14025,-0.311087,-311.087,-0.000004930795,0.000004930795,-5.3070830530802,1
SA1100,replicate_01,CPP,3652,1.74315,-0.3104485,-310.4485,-0.00000273812,0.00000273812,-5.56254752252934,1
SA1100,replicate_01,CPP,3653,2.34605,-0.3098684,-309.8684,-0.000002098271,0.000002098271,-5.67813842166965,1
SA1100,replicate_01,CPP,3654,2.949,-0.3093528,-309.3528,-0.000001803432,0.000001803432,-5.74390022849479,1
SA1100,replicate_01,CPP,3655,3.552,-0.3086036,-308.6036,-0.000001609196,0.000001609196,-5.79339105563103,1
SA1100,replicate_01,CPP,3656,4.0638,-0.3079741,-307.9741,-0.000001552206,0.000001552206,-5.80905064214588,1
SA1100,replicate_01,CPP,3657,4.6668,-0.3072238,-307.2238,-0.000001430998,0.000001430998,-5.84436097322106,1
SA1100,replicate_01,CPP,3658,5.26975,-0.3069811,-306.9811,-0.00000134775,0.00000134775,-5.87039065949933,1
SA1100,replicate_01,CPP,3659,5.8727,-0.3061523,-306.1523,-0.000001283514,0.000001283514,-5.8915993898756,1
SA1100,replicate_01,CPP,3660,6.47565,-0.3058522,-305.8522,-0.000001223708,0.000001223708,-5.91232220075061,1
SA1100,replicate_01,CPP,3661,7.08345,-0.3051815,-305.1815,-0.000001172976,0.000001172976,-5.93071087379598,1
SA1100,replicate_01,CPP,3662,7.68635,-0.3047011,-304.7011,-0.000001139563,0.000001139563,-5.94326166013166,1
SA1100,replicate_01,CPP,3663,8.2893,-0.3036699,-303.6699,-0.000001105584,0.000001105584,-5.95640825502957,1
SA1100,replicate_01,CPP,3664,8.89215,-0.3032348,-303.2348,-0.00000105789,0.00000105789,-5.97555948813885,1
SA1100,replicate_01,CPP,3665,9.4952,-0.3027877,-302.7877,-0.000001028846,0.000001028846,-5.98764962655481,1
SA1100,replicate_01,CPP,3666,10.0982,-0.3023022,-302.3022,-0.0000009994837,0.0000009994837,-6.00022428414494,1
SA1100,replicate_01,CPP,3667,10.70115,-0.3015953,-301.5953,-0.0000009674495,0.0000009674495,-6.01437169550155,1
SA1100,replicate_01,CPP,3668,11.3041,-0.3008591,-300.8591,-0.0000009471757,0.0000009471757,-6.02356945239827,1
SA1100,replicate_01,CPP,3669,11.907,-0.3003495,-300.3495,-0.0000009193751,0.0000009193751,-6.03650726269038,1
SA1100,replicate_01,CPP,3670,12.51,-0.2996677,-299.6677,-0.0000008903738,0.0000008903738,-6.05042762796674,1
SA1100,replicate_01,CPP,3671,13.11785,-0.2990131,-299.0131,-0.0000008703565,0.0000008703565,-6.06030282293319,1
SA1100,replicate_01,CPP,3672,13.7208,-0.2984461,-298.4461,-0.0000008483354,0.0000008483354,-6.07143241004197,1
SA1100,replicate_01,CPP,3673,14.32375,-0.2978439,-297.8439,-0.0000008232591,0.0000008232591,-6.08446346005979,1
SA1100,replicate_01,CPP,3674,14.9268,-0.2973383,-297.3383,-0.000000803591,0.000000803591,-6.09496493587628,1
SA1100,replicate_01,CPP,3675,15.52975,-0.2966072,-296.6072,-0.0000007861136,0.0000007861136,-6.10451469023508,1
SA1100,replicate_01,CPP,3676,16.1327,-0.2959909,-295.9909,-0.0000007707157,0.0000007707157,-6.1131057940516,1
SA1100,replicate_01,CPP,3677,16.7357,-0.2954692,-295.4692,-0.0000007499018,0.0000007499018,-6.12499560395546,1
SA1100,replicate_01,CPP,3678,17.33865,-0.294866,-294.866,-0.0000007314814,0.0000007314814,-6.13579671257362,1
SA1100,replicate_01,CPP,3679,17.9416,-0.2941711,-294.1711,-0.0000007084456,0.0000007084456,-6.14969349266687,1
SA1100,replicate_01,CPP,3680,18.5445,-0.293725,-293.725,-0.0000006940979,0.0000006940979,-6.15857926955786,1
SA1100,replicate_01,CPP,3681,19.1523,-0.2929998,-292.9998,-0.0000006749973,0.0000006749973,-6.17069796435038,1
SA1100,replicate_01,CPP,3682,19.7553,-0.292313,-292.313,-0.000000666084,0.000000666084,-6.17647099840314,1
SA1100,replicate_01,CPP,3683,20.35825,-0.291743,-291.743,-0.0000006469639,0.0000006469639,-6.1891199518942,1
SA1100,replicate_01,CPP,3684,20.9612,-0.2912053,-291.2053,-0.0000006279981,0.0000006279981,-6.20204167021307,1
SA1100,replicate_01,CPP,3685,21.56415,-0.2907269,-290.7269,-0.0000006159236,0.0000006159236,-6.21047315497224,1
SA1100,replicate_01,CPP,3686,22.1672,-0.2900189,-290.0189,-0.0000006027897,0.0000006027897,-6.21983417717921,1
SA1100,replicate_01,CPP,3687,22.77015,-0.2894811,-289.4811,-0.0000005876547,0.0000005876547,-6.23087778605655,1
SA1100,replicate_01,CPP,3688,23.3731,-0.2887399,-288.7399,-0.0000005753932,0.0000005753932,-6.24003527490994,1
SA1100,replicate_01,CPP,3689,23.97605,-0.2882374,-288.2374,-0.0000005625117,0.0000005625117,-6.24986843998532,1
SA1100,replicate_01,CPP,3690,24.57895,-0.2876281,-287.6281,-0.00000055225,0.00000055225,-6.25786427545653,1
SA1100,replicate_01,CPP,3691,25.18785,-0.2869956,-286.9956,-0.0000005357534,0.0000005357534,-6.27103506415631,1
SA1100,replicate_01,CPP,3692,25.79085,-0.286333,-286.333,-0.0000005214582,0.0000005214582,-6.28278049881351,1
SA1100,replicate_01,CPP,3693,26.3938,-0.2857982,-285.7982,-0.0000005064383,0.0000005064383,-6.29547345771093,1
SA1100,replicate_01,CPP,3694,26.9967,-0.2852353,-285.2353,-0.0000005004102,0.0000005004102,-6.30067384654343,1
SA1100,replicate_01,CPP,3695,27.59965,-0.2846089,-284.6089,-0.000000484497,0.000000484497,-6.31470890775146,1
SA1100,replicate_01,CPP,3696,28.20255,-0.2839955,-283.9955,-0.0000004743321,0.0000004743321,-6.32391748386354,1
SA1100,replicate_01,CPP,3697,28.8055,-0.2835021,-283.5021,-0.0000004613773,0.0000004613773,-6.33594377680074,1
SA1100,replicate_01,CPP,3698,29.40845,-0.282778,-282.778,-0.0000004532292,0.0000004532292,-6.3436821178061,1
SA1100,replicate_01,CPP,3699,30.0114,-0.2822191,-282.2191,-0.0000004423265,0.0000004423265,-6.35425704105315,1
SA1100,replicate_01,CPP,3700,30.6144,-0.2815836,-281.5836,-0.000000429776,0.000000429776,-6.36675784049322,1
SA1100,replicate_01,CPP,3701,31.22215,-0.2809834,-280.9834,-0.0000004153394,0.0000004153394,-6.38159686881558,1
SA1100,replicate_01,CPP,3702,31.82515,-0.2803298,-280.3298,-0.0000004093898,0.0000004093898,-6.3878629820421,1
SA1100,replicate_01,CPP,3703,32.42825,-0.2797396,-279.7396,-0.0000004010664,0.0000004010664,-6.39678372023182,1
SA1100,replicate_01,CPP,3704,33.03125,-0.2791948,-279.1948,-0.0000003865408,0.0000003865408,-6.41280465884868,1
SA1100,replicate_01,CPP,3705,33.6342,-0.2785624,-278.5624,-0.0000003790217,0.0000003790217,-6.42133592480641,1
SA1100,replicate_01,CPP,3706,34.23705,-0.2778624,-277.8624,-0.0000003744664,0.0000003744664,-6.42658714445113,1
SA1100,replicate_01,CPP,3707,34.8399,-0.2772944,-277.2944,-0.0000003645133,0.0000003645133,-6.43828662095031,1
SA1100,replicate_01,CPP,3708,35.44285,-0.2768221,-276.8221,-0.0000003526572,0.0000003526572,-6.45264724498725,1
SA1100,replicate_01,CPP,3709,36.0459,-0.2762219,-276.2219,-0.0000003432089,0.0000003432089,-6.46444145867073,1
SA1100,replicate_01,CPP,3710,36.64885,-0.275525,-275.525,-0.0000003347377,0.0000003347377,-6.47529537225552,1
SA1100,replicate_01,CPP,3711,37.2566,-0.2749268,-274.9268,-0.0000003253195,0.0000003253195,-6.48768990386054,1
SA1100,replicate_01,CPP,3712,37.8597,-0.2743215,-274.3215,-0.0000003196393,0.0000003196393,-6.4953398290957,1
SA1100,replicate_01,CPP,3713,38.46275,-0.2737354,-273.7354,-0.0000003068037,0.0000003068037,-6.51313940717451,1
SA1100,replicate_01,CPP,3714,39.06575,-0.2731583,-273.1583,-0.000000301801,0.000000301801,-6.52027932554863,1
SA1100,replicate_01,CPP,3715,39.6686,-0.2725451,-272.5451,-0.0000002869053,0.0000002869053,-6.54226142896037,1
SA1100,replicate_01,CPP,3716,40.2715,-0.2718773,-271.8773,-0.0000002837598,0.0000002837598,-6.54704913063608,1
SA1100,replicate_01,CPP,3717,40.8746,-0.2713456,-271.3456,-0.0000002748504,0.0000002748504,-6.56090362665289,1
SA1100,replicate_01,CPP,3718,41.4777,-0.2706457,-270.6457,-0.0000002737584,0.0000002737584,-6.56263254605985,1
SA1100,replicate_01,CPP,3719,42.0807,-0.2701724,-270.1724,-0.0000002606545,0.0000002606545,-6.58393477291115,1
SA1100,replicate_01,CPP,3720,42.68365,-0.2694966,-269.4966,-0.0000002521885,0.0000002521885,-6.59827472149178,1
SA1100,replicate_01,CPP,3721,43.29145,-0.2690162,-269.0162,-0.0000002410714,0.0000002410714,-6.61785430998314,1
SA1100,replicate_01,CPP,3722,43.89455,-0.2683949,-268.3949,-0.0000002380724,0.0000002380724,-6.62329094992263,1
SA1100,replicate_01,CPP,3723,44.4976,-0.2676728,-267.6728,-0.00000022853,0.00000022853,-6.64105678036767,1
SA1100,replicate_01,CPP,3724,45.1005,-0.2671562,-267.1562,-0.0000002232343,0.0000002232343,-6.6512390751634,1
SA1100,replicate_01,CPP,3725,45.70335,-0.2665539,-266.5539,-0.0000002136396,0.0000002136396,-6.67031824383694,1
SA1100,replicate_01,CPP,3726,46.3063,-0.2658983,-265.8983,-0.0000002082275,0.0000002082275,-6.68146191502927,1
SA1100,replicate_01,CPP,3727,46.9094,-0.2653424,-265.3424,-0.0000002025473,0.0000002025473,-6.69347354168265,1
SA1100,replicate_01,CPP,3728,47.51235,-0.2647422,-264.7422,-0.0000001963989,0.0000001963989,-6.70686094895878,1
SA1100,replicate_01,CPP,3729,48.1152,-0.2640795,-264.0795,-0.0000001888105,0.0000001888105,-6.72397385767957,1
SA1100,replicate_01,CPP,3730,48.71805,-0.2635055,-263.5055,-0.0000001797062,0.0000001797062,-6.74543693914401,1
