condition,replicate_id,measurement_type,index,time_s,Ewe_V,Ewe_mV,current_density_A_cm2,frequency_Hz,ReZ_Ohm_cm2,neg_ImZ_Ohm_cm2,cycle
SA1100,replicate_01,EIS,1,0.2757,-0.2421826,-242.1826,0,0,0,0,1
SA1100,replicate_01,EIS,2,1.29015,-0.2423941,-242.3941,0,0,0,0,1
SA1100,replicate_01,EIS,3,2.30455,-0.2414273,-241.4273,0,0,0,0,1
SA1100,replicate_01,EIS,4,3.319,-0.2414122,-241.4122,0,0,0,0,1
SA1100,replicate_01,EIS,5,4.3334,-0.2411705,-241.1705,0,0,0,0,1
SA1100,replicate_01,EIS,6,5.3478,-0.2404957,-240.4957,0,0,0,0,1
SA1100,replicate_01,EIS,7,6.36225,-0.2405108,-240.5108,0,0,0,0,1
SA1100,replicate_01,EIS,8,7.37665,-0.2412712,-241.2712,0,0,0,0,1
SA1100,replicate_01,EIS,9,8.3911,-0.2411604,-241.1604,0,0,0,0,1
SA1100,replicate_01,EIS,10,9.40555,-0.2414726,-241.4726,0,0,0,0,1
SA1100,replicate_01,EIS,11,10.42485,-0.2402943,-240.2943,0,0,0,0,1
SA1100,replicate_01,EIS,12,11.43925,-0.2407777,-240.7777,0,0,0,0,1
SA1100,replicate_01,EIS,13,12.4537,-0.2404454,-240.4454,0,0,0,0,1
SA1100,replicate_01,EIS,14,13.46815,-0.239826,-239.826,0,0,0,0,1
SA1100,replicate_01,EIS,15,14.48255,-0.2393225,-239.3225,0,0,0,0,1
SA1100,replicate_01,EIS,16,15.49695,-0.2387484,-238.7484,0,0,0,0,1
SA1100,replicate_01,EIS,17,16.51135,-0.2386125,-238.6125,0,0,0,0,1
SA1100,replicate_01,EIS,18,17.52575,-0.238406,-238.406,0,0,0,0,1
SA1100,replicate_01,EIS,19,18.5402,-0.2380334,-238.0334,0,0,0,0,1
SA1100,replicate_01,EIS,20,19.5547,-0.2382751,-238.2751,0,0,0,0,1
SA1100,replicate_01,EIS,21,20.5739,-0.2380334,-238.0334,0,0,0,0,1
SA1100,replicate_01,EIS,22,21.5883,-0.2376306,-237.6306,0,0,0,0,1
SA1100,replicate_01,EIS,23,22.6028,-0.2373134,-237.3134,0,0,0,0,1
SA1100,replicate_01,EIS,24,23.6172,-0.237263,-237.263,0,0,0,0,1
SA1100,replicate_01,EIS,25,24.63165,-0.2368199,-236.8199,0,0,0,0,1
SA1100,replicate_01,EIS,26,25.6461,-0.2369659,-236.9659,0,0,0,0,1
SA1100,replicate_01,EIS,27,26.66055,-0.236694,-236.694,0,0,0,0,1
SA1100,replicate_01,EIS,28,27.675,-0.2371673,-237.1673,0,0,0,0,1
SA1100,replicate_01,EIS,29,28.68945,-0.236553,-236.553,0,0,0,0,1
SA1100,replicate_01,EIS,30,29.7039,-0.2362559,-236.2559,0,0,0,0,1
SA1100,replicate_01,EIS,31,30.7232,-0.2361854,-236.1854,0,0,0,0,1
SA1100,replicate_01,EIS,32,31.7376,-0.2358732,-235.8732,0,0,0,0,1
SA1100,replicate_01,EIS,33,32.75205,-0.235692,-235.692,0,0,0,0,1
SA1100,replicate_01,EIS,34,33.7665,-0.2402037,-240.2037,0,0,0,0,1
SA1100,replicate_01,EIS,35,34.78095,-0.2376104,-237.6104,0,0,0,0,1
SA1100,replicate_01,EIS,36,35.7954,-0.2373839,-237.3839,0,0,0,0,1
SA1100,replicate_01,EIS,37,36.80985,-0.236548,-236.548,0,0,0,0,1
SA1100,replicate_01,EIS,38,37.8243,-0.2362912,-236.2912,0,0,0,0,1
SA1100,replicate_01,EIS,39,38.8387,-0.2353647,-235.3647,0,0,0,0,1
SA1100,replicate_01,EIS,40,39.8531,-0.2351733,-235.1733,0,0,0,0,1
SA1100,replicate_01,EIS,41,40.87295,-0.2354452,-235.4452,0,0,0,0,1
SA1100,replicate_01,EIS,42,41.8874,-0.2350676,-235.0676,0,0,0,0,1
SA1100,replicate_01,EIS,43,42.9018,-0.234841,-234.841,0,0,0,0,1
SA1100,replicate_01,EIS,44,43.9162,-0.2347101,-234.7101,0,0,0,0,1
SA1100,replicate_01,EIS,45,44.9306,-0.2348813,-234.8813,0,0,0,0,1
SA1100,replicate_01,EIS,46,45.945,-0.2345993,-234.5993,0,0,0,0,1
SA1100,replicate_01,EIS,47,46.9594,-0.2342267,-234.2267,0,0,0,0,1
SA1100,replicate_01,EIS,48,47.97385,-0.2340806,-234.0806,0,0,0,0,1
SA1100,replicate_01,EIS,49,48.9883,-0.2335519,-233.5519,0,0,0,0,1
SA1100,replicate_01,EIS,50,50.00275,-0.2335167,-233.5167,0,0,0,0,1
SA1100,replicate_01,EIS,51,51.022,-0.2332498,-233.2498,0,0,0,0,1
SA1100,replicate_01,EIS,52,52.03645,-0.233844,-233.844,0,0,0,0,1
SA1100,replicate_01,EIS,53,53.05085,-0.2335721,-233.5721,0,0,0,0,1
SA1100,replicate_01,EIS,54,54.06525,-0.2331189,-233.1189,0,0,0,0,1
SA1100,replicate_01,EIS,55,55.0797,-0.2341662,-234.1662,0,0,0,0,1
SA1100,replicate_01,EIS,56,56.09415,-0.2347151,-234.7151,0,0,0,0,1
SA1100,replicate_01,EIS,57,57.1086,-0.235556,-235.556,0,0,0,0,1
SA1100,replicate_01,EIS,58,58.1231,-0.2351784,-235.1784,0,0,0,0,1
SA1100,replicate_01,EIS,59,59.1375,-0.2349115,-234.9115,0,0,0,0,1
SA1100,replicate_01,EIS,60,60.1519,-0.234136,-234.136,0,0,0,0,1
SA1100,replicate_01,EIS,61,61.17115,-0.2332246,-233.2246,0,0,0,0,1
SA1100,replicate_01,EIS,62,62.1856,-0.2329074,-232.9074,0,0,0,0,1
SA1100,replicate_01,EIS,63,63.20005,-0.2326304,-232.6304,0,0,0,0,1
SA1100,replicate_01,EIS,64,64.2145,-0.2326405,-232.6405,0,0,0,0,1
SA1100,replicate_01,EIS,65,65.2289,-0.2334965,-233.4965,0,0,0,0,1
SA1100,replicate_01,EIS,66,66.2433,-0.2328268,-232.8268,0,0,0,0,1
SA1100,replicate_01,EIS,67,67.25775,-0.232575,-232.575,0,0,0,0,1
SA1100,replicate_01,EIS,68,68.27215,-0.2326657,-232.6657,0,0,0,0,1
SA1100,replicate_01,EIS,69,69.28655,-0.2321168,-232.1168,0,0,0,0,1
SA1100,replicate_01,EIS,70,70.30095,-0.2319104,-231.9104,0,0,0,0,1
SA1100,replicate_01,EIS,71,71.32025,-0.2316989,-231.6989,0,0,0,0,1
SA1100,replicate_01,EIS,72,72.33465,-0.2324391,-232.4391,0,0,0,0,1
SA1100,replicate_01,EIS,73,73.3491,-0.2317795,-231.7795,0,0,0,0,1
SA1100,replicate_01,EIS,74,74.3635,-0.2315126,-231.5126,0,0,0,0,1
SA1100,replicate_01,EIS,75,75.37795,-0.2312658,-231.2658,0,0,0,0,1
SA1100,replicate_01,EIS,76,76.3924,-0.231145,-231.145,0,0,0,0,1
SA1100,replicate_01,EIS,77,77.4068,-0.2306767,-230.6767,0,0,0,0,1
SA1100,replicate_01,EIS,78,78.4212,-0.2309738,-230.9738,0,0,0,0,1
SA1100,replicate_01,EIS,79,79.4356,-0.2310342,-231.0342,0,0,0,0,1
SA1100,replicate_01,EIS,80,80.45005,-0.2314773,-231.4773,0,0,0,0,1
SA1100,replicate_01,EIS,81,81.4693,-0.2315176,-231.5176,0,0,0,0,1
SA1100,replicate_01,EIS,82,82.4837,-0.23115,-231.15,0,0,0,0,1
SA1100,replicate_01,EIS,83,83.49815,-0.2309486,-230.9486,0,0,0,0,1
SA1100,replicate_01,EIS,84,84.51255,-0.2310946,-231.0946,0,0,0,0,1
SA1100,replicate_01,EIS,85,85.52695,-0.2308127,-230.8127,0,0,0,0,1
SA1100,replicate_01,EIS,86,86.5414,-0.2304552,-230.4552,0,0,0,0,1
SA1100,replicate_01,EIS,87,87.5558,-0.2301933,-230.1933,0,0,0,0,1
SA1100,replicate_01,EIS,88,88.57025,-0.2301228,-230.1228,0,0,0,0,1
SA1100,replicate_01,EIS,89,89.5847,-0.2303696,-230.3696,0,0,0,0,1
SA1100,replicate_01,EIS,90,90.59915,-0.2310644,-231.0644,0,0,0,0,1
SA1100,replicate_01,EIS,91,91.6184,-0.2322226,-232.2226,0,0,0,0,1
SA1100,replicate_01,EIS,92,92.6328,-0.2321168,-232.1168,0,0,0,0,1
SA1100,replicate_01,EIS,93,93.6472,-0.2311752,-231.1752,0,0,0,0,1
SA1100,replicate_01,EIS,94,94.66165,-0.2310292,-231.0292,0,0,0,0,1
SA1100,replicate_01,EIS,95,95.67605,-0.2308076,-230.8076,0,0,0,0,1
SA1100,replicate_01,EIS,96,96.6905,-0.2311903,-231.1903,0,0,0,0,1
SA1100,replicate_01,EIS,97,97.7049,-0.2303192,-230.3192,0,0,0,0,1
SA1100,replicate_01,EIS,98,98.7193,-0.2304249,-230.4249,0,0,0,0,1
SA1100,replicate_01,EIS,99,99.73375,-0.2301681,-230.1681,0,0,0,0,1
SA1100,replicate_01,EIS,100,100.7482,-0.2303142,-230.3142,0,0,0,0,1
SA1100,replicate_01,EIS,101,101.7674,-0.2300573,-230.0573,0,0,0,0,1
SA1100,replicate_01,EIS,102,102.7819,-0.2299466,-229.9466,0,0,0,0,1
SA1100,replicate_01,EIS,103,103.7962,-0.2294884,-229.4884,0,0,0,0,1
SA1100,replicate_01,EIS,104,104.8107,-0.2293725,-229.3725,0,0,0,0,1
SA1100,replicate_01,EIS,105,105.8251,-0.2292567,-229.2567,0,0,0,0,1
SA1100,replicate_01,EIS,106,106.8395,-0.2295337,-229.5337,0,0,0,0,1
SA1100,replicate_01,EIS,107,107.854,-0.2294783,-229.4783,0,0,0,0,1
SA1100,replicate_01,EIS,108,108.8683,-0.229015,-229.015,0,0,0,0,1
SA1100,replicate_01,EIS,109,109.8828,-0.2291409,-229.1409,0,0,0,0,1
SA1100,replicate_01,EIS,110,110.8972,-0.2289999,-228.9999,0,0,0,0,1
SA1100,replicate_01,EIS,111,111.9164,-0.2286676,-228.6676,0,0,0,0,1
SA1100,replicate_01,EIS,112,112.9308,-0.2285165,-228.5165,0,0,0,0,1
SA1100,replicate_01,EIS,113,113.9453,-0.2285518,-228.5518,0,0,0,0,1
SA1100,replicate_01,EIS,114,114.9596,-0.2284813,-228.4813,0,0,0,0,1
SA1100,replicate_01,EIS,115,115.9741,-0.2290452,-229.0452,0,0,0,0,1
SA1100,replicate_01,EIS,116,116.9885,-0.2288791,-228.8791,0,0,0,0,1
SA1100,replicate_01,EIS,117,118.003,-0.2289042,-228.9042,0,0,0,0,1
SA1100,replicate_01,EIS,118,119.0174,-0.2298962,-229.8962,0,0,0,0,1
SA1100,replicate_01,EIS,119,120.0319,-0.2314421,-231.4421,0,0,0,0,1
SA1100,replicate_01,EIS,120,121.0462,-0.2366437,-236.6437,0,0,0,0,1
SA1100,replicate_01,EIS,121,122.0655,-0.2345238,-234.5238,0,0,0,0,1
SA1100,replicate_01,EIS,122,123.0799,-0.2318197,-231.8197,0,0,0,0,1
SA1100,replicate_01,EIS,123,124.0944,-0.2307422,-230.7422,0,0,0,0,1
SA1100,replicate_01,EIS,124,125.1088,-0.2298156,-229.8156,0,0,0,0,1
SA1100,replicate_01,EIS,125,126.1233,-0.2295991,-229.5991,0,0,0,0,1
SA1100,replicate_01,EIS,126,127.1377,-0.2291862,-229.1862,0,0,0,0,1
SA1100,replicate_01,EIS,127,128.1521,-0.2285266,-228.5266,0,0,0,0,1
SA1100,replicate_01,EIS,128,129.1665,-0.2288992,-228.8992,0,0,0,0,1
SA1100,replicate_01,EIS,129,130.1809,-0.2279274,-227.9274,0,0,0,0,1
SA1100,replicate_01,EIS,130,131.1953,-0.227877,-227.877,0,0,0,0,1
SA1100,replicate_01,EIS,131,132.2146,-0.2274994,-227.4994,0,0,0,0,1
SA1100,replicate_01,EIS,132,133.229,-0.2271821,-227.1821,0,0,0,0,1
SA1100,replicate_01,EIS,133,134.2434,-0.2271167,-227.1167,0,0,0,0,1
SA1100,replicate_01,EIS,134,135.2578,-0.2271771,-227.1771,0,0,0,0,1
SA1100,replicate_01,EIS,135,136.2723,-0.2267793,-226.7793,0,0,0,0,1
SA1100,replicate_01,EIS,136,137.2867,-0.2266031,-226.6031,0,0,0,0,1
SA1100,replicate_01,EIS,137,138.3011,-0.2263614,-226.3614,0,0,0,0,1
SA1100,replicate_01,EIS,138,139.3155,-0.2262153,-226.2153,0,0,0,0,1
SA1100,replicate_01,EIS,139,140.3299,-0.2263815,-226.3815,0,0,0,0,1
SA1100,replicate_01,EIS,140,141.3443,-0.2262556,-226.2556,0,0,0,0,1
SA1100,replicate_01,EIS,141,142.3636,-0.2263513,-226.3513,0,0,0,0,1
SA1100,replicate_01,EIS,142,143.378,-0.2259837,-225.9837,0,0,0,0,1
SA1100,replicate_01,EIS,143,144.3924,-0.2260643,-226.0643,0,0,0,0,1
SA1100,replicate_01,EIS,144,145.4068,-0.226734,-226.734,0,0,0,0,1
SA1100,replicate_01,EIS,145,146.4212,-0.2266736,-226.6736,0,0,0,0,1
SA1100,replicate_01,EIS,146,147.4356,-0.2261902,-226.1902,0,0,0,0,1
SA1100,replicate_01,EIS,147,148.45,-0.2259485,-225.9485,0,0,0,0,1
SA1100,replicate_01,EIS,148,149.4645,-0.2255104,-225.5104,0,0,0,0,1
SA1100,replicate_01,EIS,149,150.4789,-0.2251932,-225.1932,0,0,0,0,1
SA1100,replicate_01,EIS,150,151.4933,-0.2250622,-225.0622,0,0,0,0,1
SA1100,replicate_01,EIS,151,152.5126,-0.2249615,-224.9615,0,0,0,0,1
SA1100,replicate_01,EIS,152,153.5271,-0.2246896,-224.6896,0,0,0,0,1
SA1100,replicate_01,EIS,153,154.5414,-0.2245738,-224.5738,0,0,0,0,1
SA1100,replicate_01,EIS,154,155.5558,-0.2245889,-224.5889,0,0,0,0,1
SA1100,replicate_01,EIS,155,156.5703,-0.2246795,-224.6795,0,0,0,0,1
SA1100,replicate_01,EIS,156,157.5847,-0.2245939,-224.5939,0,0,0,0,1
SA1100,replicate_01,EIS,157,158.5992,-0.2242415,-224.2415,0,0,0,0,1
SA1100,replicate_01,EIS,158,159.6136,-0.2244127,-224.4127,0,0,0,0,1
SA1100,replicate_01,EIS,159,160.6281,-0.2246846,-224.6846,0,0,0,0,1
SA1100,replicate_01,EIS,160,161.6425,-0.2246946,-224.6946,0,0,0,0,1
SA1100,replicate_01,EIS,161,162.6617,-0.2247198,-224.7198,0,0,0,0,1
SA1100,replicate_01,EIS,162,163.6761,-0.2242364,-224.2364,0,0,0,0,1
SA1100,replicate_01,EIS,163,164.6904,-0.2238084,-223.8084,0,0,0,0,1
SA1100,replicate_01,EIS,164,165.7048,-0.2254499,-225.4499,0,0,0,0,1
SA1100,replicate_01,EIS,165,166.7193,-0.2249716,-224.9716,0,0,0,0,1
SA1100,replicate_01,EIS,166,167.7336,-0.2259938,-225.9938,0,0,0,0,1
SA1100,replicate_01,EIS,167,168.748,-0.2251076,-225.1076,0,0,0,0,1
SA1100,replicate_01,EIS,168,169.7625,-0.225163,-225.163,0,0,0,0,1
SA1100,replicate_01,EIS,169,170.7769,-0.2256061,-225.6061,0,0,0,0,1
SA1100,replicate_01,EIS,170,171.7912,-0.2251277,-225.1277,0,0,0,0,1
SA1100,replicate_01,EIS,171,172.8105,-0.2246191,-224.6191,0,0,0,0,1
SA1100,replicate_01,EIS,172,173.8248,-0.2242566,-224.2566,0,0,0,0,1
SA1100,replicate_01,EIS,173,174.8392,-0.2239897,-223.9897,0,0,0,0,1
SA1100,replicate_01,EIS,174,175.8537,-0.2237833,-223.7833,0,0,0,0,1
SA1100,replicate_01,EIS,175,176.8681,-0.2240904,-224.0904,0,0,0,0,1
SA1100,replicate_01,EIS,176,177.8824,-0.2238235,-223.8235,0,0,0,0,1
SA1100,replicate_01,EIS,177,178.8969,-0.2239393,-223.9393,0,0,0,0,1
SA1100,replicate_01,EIS,178,179.9113,-0.2235516,-223.5516,0,0,0,0,1
SA1100,replicate_01,EIS,179,180.9256,-0.2235617,-223.5617,0,0,0,0,1
SA1100,replicate_01,EIS,180,181.94,-0.2234459,-223.4459,0,0,0,0,1
SA1100,replicate_01,EIS,181,182.9593,-0.2231085,-223.1085,0,0,0,0,1
SA1100,replicate_01,EIS,182,183.9737,-0.2229474,-222.9474,0,0,0,0,1
SA1100,replicate_01,EIS,183,184.9881,-0.2230481,-223.0481,0,0,0,0,1
SA1100,replicate_01,EIS,184,186.0025,-0.2243976,-224.3976,0,0,0,0,1
SA1100,replicate_01,EIS,185,187.017,-0.223753,-223.753,0,0,0,0,1
SA1100,replicate_01,EIS,186,188.0314,-0.2231035,-223.1035,0,0,0,0,1
SA1100,replicate_01,EIS,187,189.0457,-0.2230984,-223.0984,0,0,0,0,1
SA1100,replicate_01,EIS,188,190.0602,-0.2229474,-222.9474,0,0,0,0,1
SA1100,replicate_01,EIS,189,191.0746,-0.2228567,-222.8567,0,0,0,0,1
