condition,replicate_id,measurement_type,index,time_s,Ewe_V,Ewe_mV,current_density_A_cm2,cycle
SA1100,replicate_01,OCP,334,0.37895,-0.2128564,-212.8564,0,1
SA1100,replicate_01,OCP,335,1.4636,-0.2126691,-212.6691,0,1
SA1100,replicate_01,OCP,336,2.54835,-0.2124969,-212.4969,0,1
SA1100,replicate_01,OCP,337,3.6331,-0.2123317,-212.3317,0,1
SA1100,replicate_01,OCP,338,4.71775,-0.2122522,-212.2522,0,1
SA1100,replicate_01,OCP,339,5.8024,-0.2121172,-212.1172,0,1
SA1100,replicate_01,OCP,340,6.8872,-0.2120729,-212.0729,0,1
SA1100,replicate_01,OCP,341,7.97185,-0.2118997,-211.8997,0,1
SA1100,replicate_01,OCP,342,9.05655,-0.2118624,-211.8624,0,1
SA1100,replicate_01,OCP,343,10.1412,-0.2117436,-211.7436,0,1
SA1100,replicate_01,OCP,344,11.23075,-0.2116862,-211.6862,0,1
SA1100,replicate_01,OCP,345,12.3154,-0.2116016,-211.6016,0,1
SA1100,replicate_01,OCP,346,13.40015,-0.2115714,-211.5714,0,1
SA1100,replicate_01,OCP,347,14.4849,-0.2114747,-211.4747,0,1
SA1100,replicate_01,OCP,348,15.5697,-0.211517,-211.517,0,1
SA1100,replicate_01,OCP,349,16.6544,-0.2113518,-211.3518,0,1
SA1100,replicate_01,OCP,350,17.7391,-0.2113227,-211.3227,0,1
SA1100,replicate_01,OCP,351,18.82385,-0.2112159,-211.2159,0,1
SA1100,replicate_01,OCP,352,19.9086,-0.2112552,-211.2552,0,1
SA1100,replicate_01,OCP,353,20.9934,-0.2111494,-211.1494,0,1
SA1100,replicate_01,OCP,354,22.08295,-0.2112813,-211.2813,0,1
SA1100,replicate_01,OCP,355,23.16765,-0.2110306,-211.0306,0,1
SA1100,replicate_01,OCP,356,24.25245,-0.2110658,-211.0658,0,1
SA1100,replicate_01,OCP,357,25.3372,-0.2109118,-210.9118,0,1
SA1100,replicate_01,OCP,358,26.42195,-0.210941,-210.941,0,1
SA1100,replicate_01,OCP,359,27.5067,-0.2109047,-210.9047,0,1
SA1100,replicate_01,OCP,360,28.59135,-0.2109258,-210.9258,0,1
SA1100,replicate_01,OCP,361,29.67605,-0.210806,-210.806,0,1
SA1100,replicate_01,OCP,362,30.7608,-0.2107033,-210.7033,0,1
SA1100,replicate_01,OCP,363,31.84555,-0.2107879,-210.7879,0,1
SA1100,replicate_01,OCP,364,32.9351,-0.2107557,-210.7557,0,1
SA1100,replicate_01,OCP,365,34.01975,-0.2106117,-210.6117,0,1
SA1100,replicate_01,OCP,366,35.10455,-0.2106217,-210.6217,0,1
SA1100,replicate_01,OCP,367,36.18945,-0.2105824,-210.5824,0,1
SA1100,replicate_01,OCP,368,37.2741,-0.210518,-210.518,0,1
SA1100,replicate_01,OCP,369,38.35875,-0.2104505,-210.4505,0,1
SA1100,replicate_01,OCP,370,39.44355,-0.2104737,-210.4737,0,1
