condition,replicate_02,measurement_type,index,time_s,Ewe_V,Ewe_mV,current_density_A_cm2,abs_current_density_A_cm2,log10_abs_current_density_A_cm2,cycle
SR400,replicate_02,CPP,3651,1.0464,-0.1332013,-133.2013,-0.0000100775,0.0000100775,-4.99664719317491,1
SR400,replicate_02,CPP,3652,1.6493,-0.1325961,-132.5961,-0.000007320412,0.000007320412,-5.13546447573242,1
SR400,replicate_02,CPP,3653,2.25225,-0.1320048,-132.0048,-0.000006412627,0.000006412627,-5.19296402073346,1
SR400,replicate_02,CPP,3654,2.85515,-0.1313273,-131.3273,-0.000005900495,0.000005900495,-5.22911155331531,1
SR400,replicate_02,CPP,3655,3.45805,-0.1307328,-130.7328,-0.000005516261,0.000005516261,-5.25835519351538,1
SR400,replicate_02,CPP,3656,4.061,-0.130122,-130.122,-0.00000523042,0.00000523042,-5.28146343611193,1
SR400,replicate_02,CPP,3657,4.66395,-0.1295948,-129.5948,-0.000004983058,0.000004983058,-5.30250405785536,1
SR400,replicate_02,CPP,3658,5.2669,-0.1289468,-128.9468,-0.000004775665,0.000004775665,-5.32096614539505,1
SR400,replicate_02,CPP,3659,5.86985,-0.1283661,-128.3661,-0.000004603677,0.000004603677,-5.33689515464228,1
SR400,replicate_02,CPP,3660,6.4728,-0.1277854,-127.7854,-0.000004414463,0.000004414463,-5.3551221188862,1
SR400,replicate_02,CPP,3661,7.0806,-0.1271396,-127.1396,-0.000004283595,0.000004283595,-5.36819159703248,1
SR400,replicate_02,CPP,3662,7.6836,-0.1265534,-126.5534,-0.000004145847,0.000004145847,-5.38238672932412,1
SR400,replicate_02,CPP,3663,8.28655,-0.1259533,-125.9533,-0.000004035422,0.000004035422,-5.39411104267964,1
SR400,replicate_02,CPP,3664,8.8895,-0.1253343,-125.3343,-0.000003920065,0.000003920065,-5.40670673172768,1
SR400,replicate_02,CPP,3665,9.4924,-0.1246753,-124.6753,-0.000003813223,0.000003813223,-5.41870779613269,1
SR400,replicate_02,CPP,3666,10.0953,-0.1241517,-124.1517,-0.000003711508,0.000003711508,-5.43044959900673,1
SR400,replicate_02,CPP,3667,10.6982,-0.1235205,-123.5205,-0.000003631112,0.000003631112,-5.43996035526452,1
SR400,replicate_02,CPP,3668,11.3011,-0.1229489,-122.9489,-0.000003531346,0.000003531346,-5.45205972833637,1
SR400,replicate_02,CPP,3669,11.90405,-0.1223258,-122.3258,-0.000003455383,0.000003455383,-5.46150380774917,1
SR400,replicate_02,CPP,3670,12.507,-0.1217118,-121.7118,-0.000003377773,0.000003377773,-5.47136954012912,1
SR400,replicate_02,CPP,3671,13.1148,-0.1211133,-121.1133,-0.00000329905,0.00000329905,-5.4816111022905,1
SR400,replicate_02,CPP,3672,13.7178,-0.1205522,-120.5522,-0.000003221897,0.000003221897,-5.49188834754394,1
SR400,replicate_02,CPP,3673,14.32075,-0.1199219,-119.9219,-0.000003162741,0.000003162741,-5.49993637143437,1
SR400,replicate_02,CPP,3674,14.9237,-0.1193062,-119.3062,-0.000003093436,0.000003093436,-5.5095588646559,1
SR400,replicate_02,CPP,3675,15.52655,-0.118699,-118.699,-0.000003031455,0.000003031455,-5.51834887420346,1
SR400,replicate_02,CPP,3676,16.1294,-0.1180811,-118.0811,-0.000002969774,0.000002969774,-5.52727659926442,1
SR400,replicate_02,CPP,3677,16.73225,-0.1175314,-117.5314,-0.000002902352,0.000002902352,-5.53724991705781,1
SR400,replicate_02,CPP,3678,17.33535,-0.1169432,-116.9432,-0.000002838422,0.000002838422,-5.54692303571196,1
SR400,replicate_02,CPP,3679,17.93835,-0.1163127,-116.3127,-0.000002783608,0.000002783608,-5.55539192402684,1
SR400,replicate_02,CPP,3680,18.54125,-0.1157473,-115.7473,-0.000002734824,0.000002734824,-5.56307061751639,1
SR400,replicate_02,CPP,3681,19.14905,-0.1151211,-115.1211,-0.000002672071,0.000002672071,-5.57315200633925,1
SR400,replicate_02,CPP,3682,19.75215,-0.1144382,-114.4382,-0.000002631853,0.000002631853,-5.57973837154429,1
SR400,replicate_02,CPP,3683,20.35515,-0.1139484,-113.9484,-0.000002578452,0.000002578452,-5.5886409489302,1
SR400,replicate_02,CPP,3684,20.9581,-0.1132526,-113.2526,-0.000002531276,0.000002531276,-5.59666049856282,1
SR400,replicate_02,CPP,3685,21.56095,-0.1126685,-112.6685,-0.000002477077,0.000002477077,-5.60606049314959,1
SR400,replicate_02,CPP,3686,22.1639,-0.1120591,-112.0591,-0.000002427965,0.000002427965,-5.61475757806483,1
SR400,replicate_02,CPP,3687,22.767,-0.1114917,-111.4917,-0.000002372458,0.000002372458,-5.62480146721666,1
SR400,replicate_02,CPP,3688,23.37005,-0.110884,-110.884,-0.000002347281,0.000002347281,-5.62943491660318,1
SR400,replicate_02,CPP,3689,23.97295,-0.1102903,-110.2903,-0.000002302721,0.000002302721,-5.63775867840597,1
SR400,replicate_02,CPP,3690,24.57585,-0.1097505,-109.7505,-0.000002258619,0.000002258619,-5.64615702279935,1
SR400,replicate_02,CPP,3691,25.18465,-0.1091142,-109.1142,-0.000002216818,0.000002216818,-5.65426996085045,1
SR400,replicate_02,CPP,3692,25.7875,-0.1084114,-108.4114,-0.00000218624,0.00000218624,-5.66030216399915,1
SR400,replicate_02,CPP,3693,26.3904,-0.1078292,-107.8292,-0.000002142765,0.000002142765,-5.66902545602281,1
SR400,replicate_02,CPP,3694,26.99345,-0.1072691,-107.2691,-0.000002096348,0.000002096348,-5.67853662152866,1
SR400,replicate_02,CPP,3695,27.5965,-0.1066362,-106.6362,-0.000002064331,0.000002064331,-5.68522066559708,1
SR400,replicate_02,CPP,3696,28.1995,-0.1060539,-106.0539,-0.000002016135,0.000002016135,-5.69548039098043,1
SR400,replicate_02,CPP,3697,28.8024,-0.1055087,-105.5087,-0.000001948438,0.000001948438,-5.7103134090585,1
SR400,replicate_02,CPP,3698,29.40525,-0.1048419,-104.8419,-0.00000195142,0.00000195142,-5.70964924826217,1
SR400,replicate_02,CPP,3699,30.00825,-0.1041811,-104.1811,-0.000001925092,0.000001925092,-5.71554851075933,1
SR400,replicate_02,CPP,3700,30.61135,-0.1036356,-103.6356,-0.000001880362,0.000001880362,-5.72575853399786,1
SR400,replicate_02,CPP,3701,31.21905,-0.1030473,-103.0473,-0.000001824175,0.000001824175,-5.73893350049847,1
SR400,replicate_02,CPP,3702,31.8219,-0.1023674,-102.3674,-0.000001794721,0.000001794721,-5.74600305548573,1
SR400,replicate_02,CPP,3703,32.42475,-0.1018368,-101.8368,-0.000001747179,0.000001747179,-5.75766259889233,1
SR400,replicate_02,CPP,3704,33.0276,-0.1011826,-101.1826,-0.000001730974,0.000001730974,-5.76170945537205,1
SR400,replicate_02,CPP,3705,33.63045,-0.1006608,-100.6608,-0.000001696786,0.000001696786,-5.77037292779408,1
SR400,replicate_02,CPP,3706,34.2333,-0.1000282,-100.0282,-0.000001719766,0.000001719766,-5.7645306413612,1
SR400,replicate_02,CPP,3707,34.83615,-0.09935237,-99.35237,-0.000001672852,0.000001672852,-5.77654248009351,1
SR400,replicate_02,CPP,3708,35.439,-0.09882084,-98.82084,-0.000001613865,0.000001613865,-5.79213279687986,1
SR400,replicate_02,CPP,3709,36.04185,-0.09821992,-98.21992,-0.000001574524,0.000001574524,-5.80285071515565,1
