condition,replicate_id,measurement_type,index,time_s,Ewe_V,Ewe_mV,current_density_A_cm2,cycle
SR400,replicate_02,OCP,334,0.5009,-0.05828898,-58.28898,0,1
SR400,replicate_02,OCP,335,1.58555,-0.05820691,-58.20691,0,1
SR400,replicate_02,OCP,336,2.6702,-0.05811667,-58.11667,0,1
SR400,replicate_02,OCP,337,3.75495,-0.05808878,-58.08878,0,1
SR400,replicate_02,OCP,338,4.8396,-0.05803289,-58.03289,0,1
SR400,replicate_02,OCP,339,5.92435,-0.0579771,-57.9771,0,1
SR400,replicate_02,OCP,340,7.00905,-0.05791758,-57.91758,0,1
SR400,replicate_02,OCP,341,8.09375,-0.05789522,-57.89522,0,1
SR400,replicate_02,OCP,342,9.17845,-0.05787316,-57.87316,0,1
SR400,replicate_02,OCP,343,10.2632,-0.05788676,-57.88676,0,1
SR400,replicate_02,OCP,344,11.35265,-0.0580775,-58.0775,0,1
SR400,replicate_02,OCP,345,12.4374,-0.05816199,-58.16199,0,1
SR400,replicate_02,OCP,346,13.52205,-0.05816229,-58.16229,0,1
SR400,replicate_02,OCP,347,14.60685,-0.05813682,-58.13682,0,1
SR400,replicate_02,OCP,348,15.6916,-0.05818717,-58.18717,0,1
SR400,replicate_02,OCP,349,16.77635,-0.05814981,-58.14981,0,1
SR400,replicate_02,OCP,350,17.86105,-0.05807327,-58.07327,0,1
SR400,replicate_02,OCP,351,18.9457,-0.05801889,-58.01889,0,1
SR400,replicate_02,OCP,352,20.03035,-0.05789935,-57.89935,0,1
SR400,replicate_02,OCP,353,21.11505,-0.05779773,-57.79773,0,1
SR400,replicate_02,OCP,354,22.2046,-0.05763982,-57.63982,0,1
SR400,replicate_02,OCP,355,23.28935,-0.05753378,-57.53378,0,1
SR400,replicate_02,OCP,356,24.37405,-0.05742793,-57.42793,0,1
SR400,replicate_02,OCP,357,25.4588,-0.05734988,-57.34988,0,1
SR400,replicate_02,OCP,358,26.54355,-0.0572948,-57.2948,0,1
SR400,replicate_02,OCP,359,27.62835,-0.05730456,-57.30456,0,1
SR400,replicate_02,OCP,360,28.713,-0.05727838,-57.27838,0,1
SR400,replicate_02,OCP,361,29.7979,-0.05723065,-57.23065,0,1
SR400,replicate_02,OCP,362,30.8826,-0.05716297,-57.16297,0,1
SR400,replicate_02,OCP,363,31.9674,-0.05707365,-57.07365,0,1
SR400,replicate_02,OCP,364,33.05695,-0.05702842,-57.02842,0,1
SR400,replicate_02,OCP,365,34.14165,-0.05711121,-57.11121,0,1
SR400,replicate_02,OCP,366,35.2263,-0.05721464,-57.21464,0,1
SR400,replicate_02,OCP,367,36.31095,-0.05730416,-57.30416,0,1
SR400,replicate_02,OCP,368,37.3958,-0.0573372,-57.3372,0,1
SR400,replicate_02,OCP,369,38.4805,-0.05741112,-57.41112,0,1
SR400,replicate_02,OCP,370,39.56515,-0.05747708,-57.47708,0,1
SR400,replicate_02,OCP,371,40.6499,-0.05757839,-57.57839,0,1
SR400,replicate_02,OCP,372,41.7346,-0.05778323,-57.78323,0,1
SR400,replicate_02,OCP,373,42.8194,-0.05809683,-58.09683,0,1
SR400,replicate_02,OCP,374,43.90965,-0.05848758,-58.48758,0,1
SR400,replicate_02,OCP,375,44.9944,-0.05860924,-58.60924,0,1
SR400,replicate_02,OCP,376,46.07905,-0.05869222,-58.69222,0,1
SR400,replicate_02,OCP,377,47.1638,-0.05884449,-58.84449,0,1
SR400,replicate_02,OCP,378,48.2485,-0.05907733,-59.07733,0,1
