condition,replicate_id,measurement_type,index,time_s,Ewe_V,Ewe_mV,current_density_A_cm2,frequency_Hz,ReZ_Ohm_cm2,neg_ImZ_Ohm_cm2,cycle
SR450,replicate_03,EIS,1,0.3013,-0.1352614,-135.2614,0,0,0,0,1
SR450,replicate_03,EIS,2,1.3157,-0.135559,-135.559,0,0,0,0,1
SR450,replicate_03,EIS,3,2.3301,-0.1353984,-135.3984,0,0,0,0,1
SR450,replicate_03,EIS,4,3.34455,-0.1354236,-135.4236,0,0,0,0,1
SR450,replicate_03,EIS,5,4.35895,-0.1358838,-135.8838,0,0,0,0,1
SR450,replicate_03,EIS,6,5.3734,-0.1373798,-137.3798,0,0,0,0,1
SR450,replicate_03,EIS,7,6.38785,-0.1365913,-136.5913,0,0,0,0,1
SR450,replicate_03,EIS,8,7.4023,-0.1358214,-135.8214,0,0,0,0,1
SR450,replicate_03,EIS,9,8.41675,-0.1352116,-135.2116,0,0,0,0,1
SR450,replicate_03,EIS,10,9.4312,-0.134701,-134.701,0,0,0,0,1
SR450,replicate_03,EIS,11,10.45045,-0.1342795,-134.2795,0,0,0,0,1
SR450,replicate_03,EIS,12,11.4649,-0.1340348,-134.0348,0,0,0,0,1
SR450,replicate_03,EIS,13,12.47935,-0.1337377,-133.7377,0,0,0,0,1
SR450,replicate_03,EIS,14,13.4938,-0.1334447,-133.4447,0,0,0,0,1
SR450,replicate_03,EIS,15,14.50825,-0.1333339,-133.3339,0,0,0,0,1
SR450,replicate_03,EIS,16,15.5227,-0.1328978,-132.8978,0,0,0,0,1
SR450,replicate_03,EIS,17,16.5371,-0.1328258,-132.8258,0,0,0,0,1
SR450,replicate_03,EIS,18,17.5515,-0.1325499,-132.5499,0,0,0,0,1
SR450,replicate_03,EIS,19,18.56595,-0.1323761,-132.3761,0,0,0,0,1
SR450,replicate_03,EIS,20,19.58035,-0.1322452,-132.2452,0,0,0,0,1
SR450,replicate_03,EIS,21,20.5996,-0.1321077,-132.1077,0,0,0,0,1
SR450,replicate_03,EIS,22,21.614,-0.1324159,-132.4159,0,0,0,0,1
SR450,replicate_03,EIS,23,22.62845,-0.1322286,-132.2286,0,0,0,0,1
SR450,replicate_03,EIS,24,23.64285,-0.132076,-132.076,0,0,0,0,1
SR450,replicate_03,EIS,25,24.6573,-0.1320337,-132.0337,0,0,0,0,1
SR450,replicate_03,EIS,26,25.6718,-0.1320579,-132.0579,0,0,0,0,1
SR450,replicate_03,EIS,27,26.6862,-0.1320206,-132.0206,0,0,0,0,1
SR450,replicate_03,EIS,28,27.7006,-0.131924,-131.924,0,0,0,0,1
SR450,replicate_03,EIS,29,28.71505,-0.1319643,-131.9643,0,0,0,0,1
SR450,replicate_03,EIS,30,29.7295,-0.1319512,-131.9512,0,0,0,0,1
SR450,replicate_03,EIS,31,30.7487,-0.1324859,-132.4859,0,0,0,0,1
SR450,replicate_03,EIS,32,31.76315,-0.1328349,-132.8349,0,0,0,0,1
SR450,replicate_03,EIS,33,32.77755,-0.133069,-133.069,0,0,0,0,1
SR450,replicate_03,EIS,34,33.79195,-0.133001,-133.001,0,0,0,0,1
SR450,replicate_03,EIS,35,34.80635,-0.1329542,-132.9542,0,0,0,0,1
SR450,replicate_03,EIS,36,35.82075,-0.1325841,-132.5841,0,0,0,0,1
SR450,replicate_03,EIS,37,36.83515,-0.1324174,-132.4174,0,0,0,0,1
SR450,replicate_03,EIS,38,37.84955,-0.1322256,-132.2256,0,0,0,0,1
SR450,replicate_03,EIS,39,38.864,-0.1320448,-132.0448,0,0,0,0,1
SR450,replicate_03,EIS,40,39.8784,-0.1320952,-132.0952,0,0,0,0,1
SR450,replicate_03,EIS,41,40.89825,-0.1318348,-131.8348,0,0,0,0,1
SR450,replicate_03,EIS,42,41.9127,-0.1317291,-131.7291,0,0,0,0,1
SR450,replicate_03,EIS,43,42.9271,-0.1317145,-131.7145,0,0,0,0,1
SR450,replicate_03,EIS,44,43.94155,-0.1316223,-131.6223,0,0,0,0,1
SR450,replicate_03,EIS,45,44.95595,-0.1314859,-131.4859,0,0,0,0,1
SR450,replicate_03,EIS,46,45.97035,-0.1313011,-131.3011,0,0,0,0,1
