condition,replicate_id,measurement_type,index,time_s,Ewe_V,Ewe_mV,current_density_A_cm2,abs_current_density_A_cm2,log10_abs_current_density_A_cm2,cycle
SR500,replicate_01,CPP,3651,1.16845,-0.172688,-172.688,-0.000002779109,0.000002779109,-5.55609441933627,1
SR500,replicate_01,CPP,3652,1.92125,-0.1719639,-171.9639,-0.000001449723,0.000001449723,-5.83871497091236,1
SR500,replicate_01,CPP,3653,2.52425,-0.1712247,-171.2247,-0.000001142919,0.000001142919,-5.94198454746959,1
SR500,replicate_01,CPP,3654,3.1272,-0.1706507,-170.6507,-0.0000009760437,0.0000009760437,-6.01053073741119,1
SR500,replicate_01,CPP,3655,3.73015,-0.1701109,-170.1109,-0.0000008642263,0.0000008642263,-6.06337252144173,1
SR500,replicate_01,CPP,3656,4.3331,-0.1694775,-169.4775,-0.0000007899196,0.0000007899196,-6.10241711004281,1
SR500,replicate_01,CPP,3657,4.93615,-0.1688752,-168.8752,-0.000000728561,0.000000728561,-6.13753408033281,1
SR500,replicate_01,CPP,3658,5.5391,-0.1683576,-168.3576,-0.0000006807142,0.0000006807142,-6.16703518972547,1
SR500,replicate_01,CPP,3659,6.1421,-0.1676949,-167.6949,-0.0000006345428,0.0000006345428,-6.19753907935819,1
SR500,replicate_01,CPP,3660,6.745,-0.1670806,-167.0806,-0.0000005984305,0.0000005984305,-6.22298628004309,1
SR500,replicate_01,CPP,3661,7.3528,-0.1664895,-166.4895,-0.0000005694213,0.0000005694213,-6.24456629149281,1
SR500,replicate_01,CPP,3662,7.95585,-0.1658218,-165.8218,-0.0000005436872,0.0000005436872,-6.26465089145075,1
SR500,replicate_01,CPP,3663,8.55885,-0.1651964,-165.1964,-0.0000005196807,0.0000005196807,-6.28426341178815,1
SR500,replicate_01,CPP,3664,9.16185,-0.1646596,-164.6596,-0.0000005003212,0.0000005003212,-6.30075109446228,1
SR500,replicate_01,CPP,3665,9.7648,-0.1640815,-164.0815,-0.000000477573,0.000000477573,-6.32096023439643,1
SR500,replicate_01,CPP,3666,10.3678,-0.1634068,-163.4068,-0.0000004655351,0.0000004655351,-6.3320475689004,1
SR500,replicate_01,CPP,3667,10.97075,-0.1629778,-162.9778,-0.0000004486202,0.0000004486202,-6.3481211753562,1
SR500,replicate_01,CPP,3668,11.5737,-0.162303,-162.303,-0.0000004320439,0.0000004320439,-6.36447212226125,1
SR500,replicate_01,CPP,3669,12.1767,-0.1616756,-161.6756,-0.0000004161425,0.0000004161425,-6.38075792810773,1
SR500,replicate_01,CPP,3670,12.77965,-0.1611046,-161.1046,-0.0000004034493,0.0000004034493,-6.39421103371436,1
SR500,replicate_01,CPP,3671,13.3874,-0.1604822,-160.4822,-0.0000003933485,0.0000003933485,-6.4052225016356,1
SR500,replicate_01,CPP,3672,13.9904,-0.1596947,-159.6947,-0.0000003784594,0.0000003784594,-6.42198070348677,1
SR500,replicate_01,CPP,3673,14.5934,-0.1592475,-159.2475,-0.0000003715602,0.0000003715602,-6.42997081202525,1
SR500,replicate_01,CPP,3674,15.1963,-0.1586352,-158.6352,-0.0000003613246,0.0000003613246,-6.4421024694296,1
SR500,replicate_01,CPP,3675,15.79935,-0.1584086,-158.4086,-0.000000351416,0.000000351416,-6.45417846892632,1
SR500,replicate_01,CPP,3676,16.40225,-0.1574519,-157.4519,-0.0000003406769,0.0000003406769,-6.46765731328462,1
SR500,replicate_01,CPP,3677,17.00515,-0.1568567,-156.8567,-0.0000003313777,0.0000003313777,-6.47967672069884,1
SR500,replicate_01,CPP,3678,17.60825,-0.1563472,-156.3472,-0.0000003253928,0.0000003253928,-6.48759206097158,1
